ID,Name,Article / Other Name,Description,AI Life Cycle Stage,High Level Principle,Associated Principles,Task,Level of Development,Sector,Tool Type,Programming Language,DOI / URL,Year,Authors / Owners,Other Links
252,GANDissect,GAN Dissection: Visualizing and Understanding Generative Adversarial Networks,,Performance evaluation,Explicability,Interpretability,Computer Vision,"4,2",Academic,Article; Code; Website,Python,https://doi.org/10.48550/arXiv.1811.10597,2018,"David Bau, Jun-Yan Zhu, Hendrik Strobelt, Bolei Zhou, Joshua B. Tenenbaum, William T. Freeman, Antonio Torralba","https://github.com/CSAILVision/GANDissect

https://gandissect.csail.mit.edu/"
253,Dissect,Understanding the Role of Individual Units in a Deep Network,,Performance evaluation,Explicability,Interpretability,Computer Vision,"4,2",Academic,Article; Code; Website,Python,https://doi.org/10.1073/pnas.1907375117,2020,"David Bau, Jun-Yan Zhu, Hendrik Strobelt, Agata Lapedriza, Bolei Zhou, Antonio Torralba","https://github.com/davidbau/dissect

https://dissect.csail.mit.edu/"
254,Summit,Summit: Scaling Deep Learning Interpretability by Visualizing Activation and Attribution Summarizations,,Performance evaluation,Explicability,Interpretability,Computer Vision,"4,5",Academic,Code; Article; Program,JavaScript; Python,https://doi.org/10.1109/TVCG.2019.2934659,2020,"Fred Hohman, Haekyu Park, Caleb Robinson, Duen Horng Polo Chau","https://github.com/fredhohman/summit/

https://fredhohman.com/summit/

https://fredhohman.com/papers/19-summit-vast.pdf"
255,Testing with Concept Activation Vectors (TCAV),Interpretability Beyond Feature Attribution: Quantitative Testing with Concept Activation Vectors (TCAV),,Model setup and training; Performance evaluation,Explicability; Explicability,Interpretability,Computer Vision; Binary Classification,"4,3",Private; Academic,Code,Python,https://doi.org/10.48550/arXiv.1711.11279,2017,"Been Kim, Martin Wattenberg, Justin Gilmer, Carrie Cai, James Wexler, Fernanda Viegas, Rory Sayres",https://github.com/tensorflow/tcav
256,How to Prevent Discriminatory Outcomes in Machine Learning,,,Businness and problem understanding; Businness and problem understanding; Planning and design,Justice; Beneficence; Autonomy,Inclusion; Fairness; Social Good; Well-being; Human Rights; Agency,Does not apply,"4,2",NGO,White Paper; Guide; Theoretical Framework,Does not apply,https://www.weforum.org/whitepapers/how-to-prevent-discriminatory-outcomes-in-machine-learning,2018,World Economic Forum (WEF),
257,Strategy Atlas,StrategyAtlas: Strategy Analysis for Machine Learning Interpretability,,"Collection, understanding and preparation of data; Performance evaluation",Non-Maleficence; Explicability,Explicability; Interpretability; Quality Data,Binary Classification; Multi-class Classification; Clustering,"4,6",Private; Academic,Article; Website,Python,https://doi.org/10.1109/TVCG.2022.3146806,2022,"Dennis Collaris, Jarke J. van Wijk","https://explaining.ml/

https://explaining.ml/strategyatlas/demo/

https://explaining.ml/explainexplore"
258,SecretFlow,,,"Collection, understanding and preparation of data; Model setup and training",Non-Maleficence; Non-Maleficence,Security; Privacy; Safety; Reliability,Computer Vision; Binary Classification; Multi-class Classification; Regression,"4,6",Public; Academic,Code,Python,https://github.com/secretflow/secretflow,2022,SecretFlow Open Source Community,"https://www.secretflow.org.cn/docs/secretflow/latest/en-US

https://www.secretflow.org.cn/"
259,Recommendation on the Ethics of Artificial Intelligence,,,Businness and problem understanding; Planning and design,Beneficence; Non-Maleficence,Responsibility; Sustainability; Well-being; Human Rights; Social Good; Reliability; Prevention,Does not apply,4,NGO,Guide; Theoretical Framework; Principles,Does not apply,https://unesdoc.unesco.org/ark:/48223/pf0000381137,2021,UNESCO,https://www.unesco.org/en/articles/recommendation-ethics-artificial-intelligence
260,Responsible Machine Learning with Python,,,Model setup and training; Performance evaluation,Explicability; Justice,Explicability; Interpretability; Fairness; Auditability,Binary Classification,4,Academic,Code; Resource Compendium; Examples,Python; Java,https://github.com/jphall663/interpretable_machine_learning_with_python,2018,"J.P Hall, Contributors",
261,Fastshap,,,Performance evaluation,Explicability,Explicability; Interpretability,Regression; Binary Classification; Multi-class Classification,4,Academic,Code,R,https://github.com/bgreenwell/fastshap,2019,Brandon Greenwell,https://bgreenwell.github.io/fastshap/
262,From Principles to Practice An interdisciplinary framework to operationalise AI ethics,,,Businness and problem understanding; Businness and problem understanding; Businness and problem understanding; Planning and design,Beneficence; Non-Maleficence; Autonomy; Justice,Social Good; Well-being; Responsibility; Trust; Sustainability; Safety; Privacy; Accountability; Transparency; Reliability; Agency; Fairness; Auditability,Does not apply,"4,5",Academic; Private,Practical Framework; Guide,Does not apply,https://doi.org/10.11586/2020013,2020,"Sebastian Hallensleben, Carla Hustedt, Lajla Fetic, Torsten Fleischer, Paul Grünke, Thilo Hagendorff, Andreas Hauschke, Marc Hauer, Jessica Heesen, Michael Herrmann, Rafaela Hillerbrand, Emeritus Christoph Hubig, Andreas Kaminski, Tobias Krafft, Wulf Loh, Philipp Otto, Michael Puntschuh",
263,Responsible AI Toolbox (rAI-toolbox),Tools and Practices for Responsible AI Engineering,,Model setup and training; Performance evaluation; Deployment and monitoring,Non-Maleficence; Explicability; Explicability,Reproducibility; Reliability; Security; Explicability; Interpretability,Computer Vision,"4,2",Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.2201.05647,2022,"Ryan Soklaski, Justin Goodwin, Olivia Brown, Michael Yee, Jason Matterer","https://github.com/mit-ll-responsible-ai/responsible-ai-toolbox

https://mit-ll-responsible-ai.github.io/responsible-ai-toolbox/"
264,AI Ethics: From principles to practice - Towards trustworthy AI design and audit,,,Businness and problem understanding; Planning and design; Planning and design,Beneficence; Non-Maleficence; Justice,Social Good; Responsibility; Accountability; Transparency; Prevention; Reliability; Fairness; Auditability; Trade-offs,Does not apply,"4,3",Private,Website; Tool Compendium; Practical Framework; Guide; Case Studies,Does not apply,https://www.fujitsu.com/global/about/research/technology/aiethics/,2022,Fujitsu Research,https://www.fujitsu.com/global/about/research/technology/ai/aiethics/index.html
265,Trustworthy Artificial Intelligence: A Review,Trustworthy Artificial Intelligence: A Review,,Businness and problem understanding; Businness and problem understanding; Businness and problem understanding; Planning and design; Planning and design,Beneficence; Non-Maleficence; Autonomy; Justice; Explicability,Responsibility; Trust; Accountability; Reliability; Privacy; Agency; Fairness; Transparency; Interpretability,Does not apply,"4,2",Academic,Article; Resource Compendium; Tool Compendium,Does not apply,https://doi.org/10.1145/3491209,2022,"Davinder Kaur, Suleyman Uslu, Kaley J. Rittichier, Arjan Durresi",https://cs.iupui.edu/~adurresi/papers/kaur2022trustworthy.pdf
266,Explainable Deep Learning: A Field Guide for the Uninitiated,Explainable Deep Learning: A Field Guide for the Uninitiated,,Planning and design,Explicability,Explicability; Interpretability,Does not apply,"4,1",Academic,Article; Guide; Resource Compendium,Does not apply,https://doi.org/10.1613/jair.1.13200,2022,"Gabrielle Ras, Ning Xie, Marcel van Gerven, Derek Doran","https://dl.acm.org/doi/10.1613/jair.1.13200

https://github.com/utkuozbulak/pytorch-cnn-visualizations"
267,A Survey on Trust Evaluation Based on Machine Learning,A Survey on Trust Evaluation Based on Machine Learning,,Businness and problem understanding; Planning and design,Non-Maleficence; Justice,Security; Privacy; Quality Data; Reliability; Auditability,Does not apply,4,Academic,Article; Resource Compendium,Does not apply,https://doi.org/10.1145/3408292,2020,"Jingwen Wang, Xuyang Jing, Zheng Yan, Yulong Fu, Witold Pedrycz, Laurence T. Yang",
268,Fair preprocessing: towards understanding compositional fairness of data transformers in machine learning pipeline,Fair preprocessing: towards understanding compositional fairness of data transformers in machine learning pipeline,,"Collection, understanding and preparation of data",Justice,Fairness,Binary Classification,"4,1",Academic,Article; Code; Dataset,Python,https://doi.org/10.1145/3468264.3468536,2021,"Sumon Biswas, Hridesh Rajan",https://github.com/sumonbis/FairPreprocessing
269,MAAT,MAAT: a novel ensemble approach to addressing fairness and performance bugs for machine learning software,,Model setup and training,Justice,Fairness,Binary Classification; Regression; Computer Vision,"4,2",Academic,Article; Code,Python,https://doi.org/10.1145/3540250.3549093,2022,"Zhenpeng Chen, Jie M. Zhang, Federica Sarro, Mark Harman","https://discovery.ucl.ac.uk/id/eprint/10152903/1/FSE22_Fairness.pdf

https://github.com/chenzhenpeng18/FSE22-MAAT"
270,PRDNN,Provable repair of deep neural networks,,Model setup and training; Performance evaluation,Non-Maleficence; Justice,Security; Safety; Reliability; Trade-offs,Computer Vision,"4,1",Academic,Article; Code,Python,https://doi.org/10.1145/3453483.3454064,2021,"Matthew Sotoudeh, Aditya V. Thakur",https://github.com/95616ARG/PRDNN
271,FINS,FINS Auditing Framework: Group Fairness for Subset Selections,,"Collection, understanding and preparation of data",Justice,Fairness,Binary Classification; Multi-class Classification,4,Academic,Article; Code,Python,https://doi.org/10.1145/3514094.3534160,2022,"Kathleen Cachel, Elke Rundensteiner ","https://github.com/kcachel/fins

https://web.archive.org/web/20220802185007id_/https://dl.acm.org/doi/pdf/10.1145/3514094.3534160"
272,How Cognitive Biases Affect XAI-assisted Decision-making: A Systematic Review,How Cognitive Biases Affect XAI-assisted Decision-making: A Systematic Review,,Businness and problem understanding; Performance evaluation,Explicability; Explicability,Explicability; Interpretability,Does not apply,Does not apply,Academic,Article; Resource Compendium,Does not apply,https://doi.org/10.1145/3514094.3534164,2022,"Astrid Bertrand, Rafik Belloum, James R. Eagan, Winston Maxwell","https://hal.telecom-paris.fr/hal-03684457v1/document#:~:text=cognitive%20biases%2C%20revealing%20four%20main,on%20the%20contrary%2C%204)%20some"
273,On decomposing a deep neural network into modules,On decomposing a deep neural network into modules,,Model setup and training; Performance evaluation,Beneficence; Beneficence,Sustainability,Multi-class Classification,"3,8",Academic,Article; Code,Python,https://doi.org/10.1145/3368089.3409668,2020,"Rangeet Pan, Hridesh Rajan",https://github.com/rangeetpan/decomposeDNNintoModules
274,Libra,Perfectly parallel fairness certification of neural networks,,Model setup and training; Performance evaluation,Justice; Justice,Fairness; Auditability,Binary Classification,"4,2",Academic,Article; Code,Python,https://doi.org/10.1145/3428253,2020,"Caterina Urban, Maria Christakis, Valentin Wüstholz, Fuyuan Zhang","https://github.com/caterinaurban/Libra

https://caterinaurban.github.io/publication/fairness/

https://caterinaurban.github.io/project/libra/

https://caterinaurban.github.io/talk/lorentz2021b/"
275,DEBAR,Detecting numerical bugs in neural network architectures,,Performance evaluation; Deployment and monitoring,Non-Maleficence; Justice,Security; Safety; Reliability; Auditability,Binary Classification; Multi-class Classification,"4,3",Academic,Article; Code,Python,https://doi.org/10.1145/3368089.3409720,2020,"Yuhao Zhang, Luyao Ren, Liqian Chen, Yingfei Xiong, Shing-Chi Cheung, Tao Xie","https://github.com/ForeverZyh/DEBAR

https://sci-hub.se/10.1145/3368089.3409720"
276,Test Selection for Deep Learning Systems,Test Selection for Deep Learning Systems,,"Collection, understanding and preparation of data",Non-Maleficence,Quality Data; Reliability,Multi-class Classification; Computer Vision,"3,9",Academic,Article; Code,Python,https://doi.org/10.1145/3417330,2021,"Wei Ma, Mike Papadakis, Anestis Tsakmalis, Maxime Cordy, Yves Le Traon",https://github.com/TestSelection/TestSelection
277,GraphicalAI,GraphicalAI: A User-Centric Approach to Develop Artificial Intelligence and Machine Learning Applications using a Visual and Graphical Language,,Planning and design; Model setup and training,Autonomy; Explicability,Agency; Literacy; Interpretability,Regression; Binary Classification; Multi-class Classification,"4,2",Academic,Program; Code; Article,Python,https://doi.org/10.1145/3456146.3456155,2021,"Andrew Shen, Yu Sun","https://github.com/AndrewHC36/GraphicalAI

https://sci-hub.ru/10.1145/3456146.3456155"
278,Towards training reproducible deep learning models,Towards training reproducible deep learning models,,Model setup and training; Performance evaluation; Deployment and monitoring,Non-Maleficence; Non-Maleficence; Non-Maleficence,Reproducibility; Transparency; Accountability,Regression; Multi-class Classification; Natural Language Processing; Computer Vision,4,Academic,Article; Guidelines; Examples,Python,https://doi.org/10.1145/3510003.3510163,2022,"Boyuan Chen, Mingzhi Wen, Yong Shi, Dayi Lin, Gopi Krishnan Rajbahadur, Zhen Ming (Jack) Jiang","https://github.com/nemo9cby/ICSE2022Rep

https://github.com/nemo9cby/repro_exp

https://github.com/keras-team/keras/issues/14671

https://arxiv.org/abs/2202.02326"
279,Building Trustworthy AI Solutions: A Case for Practical Solutions for Small Businesses,Building Trustworthy AI Solutions: A Case for Practical Solutions for Small Businesses,,Businness and problem understanding; Businness and problem understanding; Businness and problem understanding; Planning and design; Planning and design,Beneficence; Non-Maleficence; Autonomy; Justice; Explicability,Trust; Responsibility; Reliability; Agency; Fairness; Transparency,Does not apply,"4,2",Academic,Article; Tool Compendium; Guide,Does not apply,https://doi.org/10.1109/TAI.2021.3137091,2021,"Keeley Alexandra Crockett, Luciano Gerber, Annabel Latham, Edwin Colyer",
280,Ensembled Membership Auditing (EMA),A Dataset Auditing Method for Collaboratively Trained Machine Learning Models,,Model setup and training; Performance evaluation,Non-Maleficence; Justice,Accountability; Privacy; Auditability,Computer Vision,4,Academic,Article; Code,Python,https://doi.org/10.1109/TMI.2022.3220706,2022,"Yangsibo Huang, Chun-Yin Huang, Xiaoxiao Li, Kai Li",https://github.com/Hazelsuko07/EMA
281,Ethical Framework Associated with AI,Ethical Framework Associated with AI,,Businness and problem understanding; Businness and problem understanding,Beneficence; Non-Maleficence,Responsibility; Social Good; Trust; Accountability; Transparency; Privacy,Does not apply,Does not apply,Academic,Article; Guide,Does not apply,https://doi.org/10.1002/9781119831808.ch3,2021,Jérôme Béranger Leroy,https://sci-hub.ru/10.1002/9781119831808.ch3
282,BENN,BENN: Bias Estimation Using a Deep Neural Network,,Performance evaluation,Justice,Fairness; Auditability,Binary Classification,"3,5",Academic,Article; Code,Python,https://doi.org/10.1109/TNNLS.2022.3172365,2022,"Amit Giloni, Edita Grolman, Tanja Hagemann, Ronald Fromm, Sebastian Fischer, Yuval Elovici, Asaf Shabtai",https://arxiv.org/abs/2012.12537
283,An instrument to evaluate the maturity of bias governance capability in artificial intelligence projects,An instrument to evaluate the maturity of bias governance capability in artificial intelligence projects,,"Planning and design; Collection, understanding and preparation of data; Model setup and training; Deployment and monitoring",Justice; Justice; Justice; Justice; Governance,Fairness; Auditability,Does not apply,"4,2",Private; Academic,Article; Practical Framework; Case Studies,Does not apply,https://doi.org/10.1147/JRD.2019.2915062,2019,"Daphne L. Coates, Andrew Martin","https://wbs.qualtrics.com/jfe/form/SV_0oewgtUNwnhE1WB

https://wbs.qualtrics.com/jfe/form/SV_83d1I3Z3yifmIAZ

https://sci-hub.ru/10.1147/JRD.2019.2915062

https://cdt.org/insights/digital-decisions-tool/"
284,Ethics and Good Practice in Computational Paralinguistics,Ethics and Good Practice in Computational Paralinguistics,,Businness and problem understanding; Businness and problem understanding; Businness and problem understanding; Planning and design; Planning and design,Beneficence; Non-Maleficence; Autonomy; Justice; Explicability,Responsibility; Inclusion; Privacy; Quality Data; Agency; Auditability; Interpretability,Does not apply,Does not apply,Academic,Article; Guide,Does not apply,https://doi.org/10.1109/TAFFC.2020.3021015,2020,"Anton Batliner, Simone Hantke, Björn W. Schuller",https://d-nb.info/1218972033/34
285,Exosoul,A Software Exoskeleton to Protect and Support Citizen’s Ethics and Privacy in the Digital World,,Businness and problem understanding,Non-Maleficence,Privacy; Safety,Does not apply,"3,6",Academic,Article; Program,Does not apply,https://doi.org/10.1109/ACCESS.2019.2916203,2019,"Marco Autili, Davide Di Ruscio, Paola Inverardi, Patrizio Pelliccione, Massimo Tivoli","https://exosoul.disim.univaq.it/

https://youtu.be/GcrxJYmGmCU

https://arxiv.org/pdf/2204.01588.pdf"
286,RAInS Ontology,"Using Knowledge Graphs to Unlock Practical Collection, Integration, and Audit of AI Accountability Information",,Model setup and training; Deployment and monitoring,Non-Maleficence; Non-Maleficence,Accountability,Does not apply,"3,8",Academic,Article; Practical Framework,Does not apply,https://doi.org/10.1109/ACCESS.2022.3188967,2022,"Iman Naja, Milan Markovic, Peter Edwards, Wei Pang, Caitlin Cottrill, Rebecca Williams","https://rains-uoa.github.io/RAInS-Ontology/v2.0/index-en.html

https://rains-uoa.github.io/SAO-Ontology/index-en.html

https://github.com/RAINS-UOA/RAInS-Ontology"
287,Z-Inspection,Z-Inspection®: A Process to Assess Trustworthy AI,,Businness and problem understanding; Deployment and monitoring,Non-Maleficence; Justice,Accountability; Auditability,Does not apply,"4,2",Academic,Article; Practical Framework; Guide,Does not apply,https://doi.org/10.1109/TTS.2021.3066209,2021,"Roberto V. Zicari, John Brodersen, James Brusseau, Boris Düdder, Timo Eichhorn, Todor Ivanov, Georgios Kararigas, Pedro Kringen, Melissa McCullough, Florian Möslein, Naveed Mushtaq, Gemma Roig, Norman Stürtz, Karsten Tolle, Jesmin Jahan Tithi, Irmhild van Halem, Magnus Westerlund","https://z-inspection.org/

https://github.com/dennisrv/z-inspection-toolkit

https://github.com/dennisrv/z-inspection-issue-visualizer"
288,AI Ethics in Smart Healthcare,AI Ethics in Smart Healthcare,,Businness and problem understanding; Businness and problem understanding; Businness and problem understanding,Non-Maleficence; Autonomy; Justice,Transparency; Safety; Privacy; Agency; Fairness,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.1109/MCE.2022.3220001,2022,Sudeep Pasricha,https://arxiv.org/abs/2211.06346
289,Design of a Human Factors Questionnaire to Evaluate Digital Solutions Developed for Industrial Work,Design of a Human Factors Questionnaire to Evaluate Digital Solutions Developed for Industrial Work,,Deployment and monitoring,Beneficence,Social Good,Does not apply,"3,9",Academic,Article; Practical Framework,Does not apply,https://doi.org/10.54941/ahfe1001992,2022,"Susanna Aromaa, Päivi Heikkilä",
290,TAII Framework for Trustworthy AI Systems,TAII Framework for Trustworthy AI Systems,,Businness and problem understanding; Planning and design; Planning and design,Beneficence; Non-Maleficence; Justice,Social Good; Sustainability; Responsibility; Trust; Prevention; Auditability,Does not apply,4,Academic,Article; Guide; Theoretical Framework,Does not apply,https://doi.org/10.1007/978-3-031-18275-4_7,2022,Josef Baker-Brunnbauer,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3914105
291,FRIA Framework,Practical fundamental rights impact assessments,,Businness and problem understanding; Businness and problem understanding; Planning and design,Beneficence; Non-Maleficence; Justice,Human Rights; Social Good; Well-being; Accountability; Reliability; Prevention; Auditability; Trade-offs,Does not apply,"4,3",Academic,Article; Practical Framework,Does not apply,https://doi.org/10.1093/ijlit/eaac018,2022,"Heleen Janssen, Michelle Seng Ah Lee, Jatinder Singh",
292,AI Incidents Annotation Using Stakeholder Model Based On ISO 26000 Guidelines,AI Incidents Annotation Using Stakeholder Model Based On ISO 26000 Guidelines,,Deployment and monitoring; Deployment and monitoring; Deployment and monitoring,Justice; Autonomy; Beneficence,Prevention; Human Oversight; Responsibility,Does not apply,"3,9",Academic,Theory Document; Code; Website,Does not apply,https://www.scss.tcd.ie/publications/theses/diss/2022/TCD-SCSS-DISSERTATION-2022-089.pdf,2022,Omkar Pramod Padir,"https://github.com/OmkarPadir/Dissertation

https://www.aiaaic.org/

https://www.iso.org/obp/ui#iso:std:iso:26000:ed-1:v1:en"
293,"Ethical Tools, Methods and Principles in Software Engineering and Development: Case Ethical User Stories","Ethical Tools, Methods and Principles in Software Engineering and Development: Case Ethical User Stories",,Planning and design; Planning and design,Beneficence; Non-Maleficence,Social Good; Trust; Reliability,Does not apply,4,Academic,Article; Practical Framework,Does not apply,https://doi.org/10.1007/978-3-031-21388-5_48,2022,Erika Halme,"https://link.springer.com/chapter/10.1007/978-3-030-78098-2_3

http://library.lol/main/BDAFD407E4D71467FD79FD9FDC024B0A"
294,Ethical FRAPPE – an adapted draft framework for ethical AIED,Ethical FRAPPE – an adapted draft framework for ethical AIED,,Businness and problem understanding; Planning and design,Beneficence; Justice,Social Good; Responsibility; Human Rights; Fairness,Does not apply,4,Academic,Article; Theoretical Framework,Does not apply,https://ceur-ws.org/Vol-3292/DCECTEL2022_paper06.pdf,2022,"Bhoomika Agarwal, Corrie Urlings, Giel van Lankveld, Roland Klemke",https://research.ou.nl/en/publications/ethical-frappe-an-adapted-draft-framework-for-ethical-aied
295,A Trust Framework for Government Use of Artificial Intelligence and Automated Decision Making,A Trust Framework for Government Use of Artificial Intelligence and Automated Decision Making,,Businness and problem understanding; Businness and problem understanding; Businness and problem understanding; Businness and problem understanding; Planning and design,Beneficence; Non-Maleficence; Autonomy; Justice; Explicability; Governance,Responsibility; Trust; Human Rights; Accountability; Transparency; Reliability; Agency; Prevention; Auditability; Interpretability; Traceability,Does not apply,"4,2",Academic,Article; Practical Framework; Resource Compendium,Does not apply,https://doi.org/10.48550/arXiv.2208.10087,2022,"Pia Andrews, Tim de Sousa, Bruce Haefele, Matt Beard, Marcus Wigan, Abhinav Palia, Kathy Reid, Saket Narayan, Morgan Dumitru, Alex Morrison, Geoff Mason, Aurelie Jacquet",https://www.themandarin.com.au/211859-building-trustworthy-ai-in-the-special-context-of-public-service/
296,Virtual Assistants: A Code of Ethics,Virtual Assistants: A Code of Ethics,,Businness and problem understanding; Planning and design; Planning and design,Beneficence; Non-Maleficence; Autonomy,Diversity; Inclusion; Security; Privacy; Transparency,Does not apply,Does not apply,Academic,Code of Ethics; Article,Does not apply,https://doi.org/10.26686/wfeess.vi.7652,2022,Tian Welgemoed,
297,Seeing Like a Toolkit: How Toolkits Envision the Work of AI Ethics,Seeing Like a Toolkit: How Toolkits Envision the Work of AI Ethics,,Businness and problem understanding; Planning and design,Non-Maleficence; Beneficence,Social Good; Responsibility; Reliability,Does not apply,4,Academic,Article; Tool Compendium,Does not apply,https://doi.org/10.48550/arXiv.2202.08792,2022,"Richmond Y. Wong, Michael A. Madaio, Nick Merrill",
298,Lens,Democratizing Ethical Assessment of Natural Language Generation Models,,Performance evaluation; Deployment and monitoring,Justice; Justice,Fairness; Auditability,Natural Language Processing,4,Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.2207.10576,2022,"Amin Rasekh, Ian Eisenberg",https://github.com/credo-ai/credoai_lens
299,An Ethical Framework for Guiding the Development of Affectively-Aware Artificial Intelligence,An Ethical Framework for Guiding the Development of Affectively-Aware Artificial Intelligence,,Businness and problem understanding; Planning and design; Planning and design,Justice; Non-Maleficence; Beneficence,Responsibility; Social Good; Privacy; Transparency; Accountability; Prevention; Fairness,Does not apply,Does not apply,Academic,Article; Theoretical Framework,Does not apply,https://doi.org/10.48550/arXiv.2107.13734,2021,Desmond C. Ong,
300,"Computability, Complexity, Consistency and Controllability: A Four C's Framework for cross-disciplinary Ethical Algorithm Research","Computability, Complexity, Consistency and Controllability: A Four C's Framework for cross-disciplinary Ethical Algorithm Research",,Businness and problem understanding; Planning and design,Non-Maleficence; Autonomy,Reliability; Agency,Does not apply,Does not apply,Academic,Article; Theoretical Framework,Does not apply,https://doi.org/10.48550/arXiv.2102.04234,2021,Elija Perrier,
301,The Moral-IT Deck,The Moral-IT Deck: A Tool for Ethics by Design,,Planning and design; Planning and design; Planning and design; Planning and design; Planning and design,Beneficence; Non-Maleficence; Autonomy; Justice; Explicability,Social Good; Well-being; Trust; Responsibility; Sustainability; Security; Safety; Privacy; Accountability; Transparency; Agency; Fairness; Prevention; Interpretability,Does not apply,"4,2",Academic,Article; Practical Framework,Does not apply,https://doi.org/10.48550/arXiv.2007.07514,2020,"Lachlan Urquhart, Peter Craigon",https://lachlansresearch.com/the-moral-it-legal-it-decks/
302,Audit and Assurance of AI Algorithms: A framework to ensure ethical algorithmic practices in Artificial Intelligence,Audit and Assurance of AI Algorithms: A framework to ensure ethical algorithmic practices in Artificial Intelligence,,Planning and design; Planning and design,Non-Maleficence; Justice,Accountability; Auditability,Does not apply,Does not apply,Academic,Article; Theoretical Framework,Does not apply,https://doi.org/10.48550/arXiv.2107.14046,2021,"Ramya Akula, Ivan Garibay",
303,AI Governance and Ethics Framework for Sustainable AI and Sustainability,AI Governance and Ethics Framework for Sustainable AI and Sustainability,,Businness and problem understanding; Planning and design,Beneficence; Beneficence; Governance,Responsibility; Sustainability; Social Good; Inclusion; Diversity,Does not apply,Does not apply,Academic,Article; Theoretical Framework,Does not apply,https://doi.org/10.48550/arXiv.2210.08984,2022,Mahendra Samarawickrama,
304,A Toolkit to Enable the Design of Trustworthy AI,A Toolkit to Enable the Design of Trustworthy AI,,Planning and design; Planning and design; Planning and design; Planning and design; Planning and design,Beneficence; Non-Maleficence; Autonomy; Justice; Explicability,Inclusion; Social Good; Privacy; Agency; Fairness; Explicability,Does not apply,4,Academic,Article; Tool Compendium,Does not apply,https://doi.org/10.1007/978-3-030-90963-5_41,2021,"Stefan Schmager, Sonia Sousa",https://www.researchgate.net/publication/356088679_A_Toolkit_to_Enable_the_Design_of_Trustworthy_AI
305,Ethical Foresight Analysis: What It Is and Why It Is Needed?,Ethical Foresight Analysis: What It Is and Why It Is Needed?,,Businness and problem understanding,Non-Maleficence,Safety; Prevention,Does not apply,Does not apply,Academic,Article; Resource Compendium,Does not apply,https://doi.org/10.1007/s11023-020-09521-y,2021,"Luciano Floridi, Andrew Strait",
306,AI4People,"AI4People - An Ethical Framework for a Good AI Society: Opportunities, Risks, Principles, and Recommendations",,Businness and problem understanding; Businness and problem understanding; Businness and problem understanding; Businness and problem understanding; Businness and problem understanding,Beneficence; Non-Maleficence; Autonomy; Justice; Explicability,Social Good; Accountability; Agency; Fairness; Interpretability,Does not apply,"4,2",Academic,Article; Theoretical Framework,Does not apply,https://doi.org/10.1007/s11023-018-9482-5,2018,"Luciano Floridi, Josh Cowls, Monica Beltrametti, Raja Chatila, Patrice Chazerand, Virginia Dignum, Christoph Luetge, Robert Madelin, Ugo Pagallo, Francesca Rossi, Burkhard Schafer, Peggy Valcke, Effy Vayena","https://www.eismd.eu/ai4people/

https://futurescope.digicatapult.org.uk/wp-content/uploads/2023/04/DC_AI_Ethics_Framework-2021.pdf"
307,CADEX - Constrained Adversarial Explanations,Explaining Deep Learning Models with Constrained Adversarial Examples,,Performance evaluation,Explicability,Explicability,Binary Classification,"3,9",Academic,Code; Article,Python,https://doi.org/10.1007/978-3-030-29908-8_4,2019,"Jonathan Moore, Nils Hammerla, Chris Watkins","https://github.com/spore1/cadex

https://arxiv.org/abs/1906.10671"
308,AequeVox,AequeVox: Automated Fairness Testing of Speech Recognition Systems,,Performance evaluation,Justice,Fairness,Natural Language Processing,"4,2",Academic,Code; Article,Python,https://doi.org/10.1007/978-3-030-99429-7_14,2022,"Sai Sathiesh Rajan, Sakshi Udeshi, Sudipta Chattopadhyay",https://github.com/sparkssss/AequeVox
309,Supporting Human Autonomy in AI Systems: A Framework for Ethical Enquiry,Supporting Human Autonomy in AI Systems: A Framework for Ethical Enquiry,,Businness and problem understanding,Autonomy,Agency,Does not apply,4,Academic,Article; Practical Framework,Does not apply,https://doi.org/10.1007/978-3-030-50585-1_2,2020,"Rafael A. Calvo, Dorian Peters, Karina Vold & Richard M. Ryan",
310,DOS (Deep Over-Sampling) Framework,Deep Over-sampling Framework for Classifying Imbalanced Data,,Model setup and training,Justice,Fairness,Computer Vision,"3,9",Academic,Code; Article,Python,https://doi.org/10.1007/978-3-319-71249-9_46,2017,Shin Ando & Chun Yuan Huang,"https://github.com/m-zayan/DOS-Framework-PyTorch

https://github.com/Salehbigdeli/DOS-Classifying-Imbalanced"
311,Privacy-Preserving Technologies for Trusted Data Spaces,Privacy-Preserving Technologies for Trusted Data Spaces,,Model setup and training,Non-Maleficence,Security; Privacy,Regression; Multi-class Classification; Clustering,"4,1",Academic; Public,Article; Code; Website,Python,https://doi.org/10.1007/978-3-030-78307-5_6,2021,"Susanna Bonura, Davide Dalle Carbonare, Roberto Díaz-Morales, Marcos Fernández-Díaz, Lucrezia Morabito, Luis Muñoz-González, Chiara Napione, Ángel Navia-Vázquez, Mark Purcell","https://musketeer.eu/project/

https://github.com/Musketeer-H2020

https://github.com/IBM/Musketeer-Client

https://link.springer.com/chapter/10.1007/978-3-030-98636-0_5"
